correo,es_spam
emily.jones@outlook.com,0
charlie.white@yahoo.com,0
bob.jones@outlook.com,0
michael57@gmail.com,0
promo756@hotmail.com,1
win123@lottery.com,1
charlie.white@yahoo.com,0
john.doe@yahoo.com,0
jane.smith@hotmail.com,0
john.doe@yahoo.com,0
win123@lottery.com,1
laura66@gmail.com,0
charlie.white@yahoo.com,0
exclusive.offer@hotmail.com,1
charlie.white@yahoo.com,0
win123@lottery.com,1
john.doe@yahoo.com,0
emily.jones@outlook.com,0
charlie.white@yahoo.com,0
john.doe@yahoo.com,0
jane.smith@hotmail.com,0
promo756@hotmail.com,1
promo756@hotmail.com,1
promo756@hotmail.com,1
charlie.white@yahoo.com,0
susan.doe@gmail.com,0
laura66@gmail.com,0
charlie.white@yahoo.com,0
cash498@yahoo.com,1
win123@lottery.com,1
discount@shopping.com,1
special.deal@coupons.com,1
win123@lottery.com,1
michael57@gmail.com,0
david.smith@hotmail.com,0
newsletter@updates.com,1
jane.smith@hotmail.com,0
discount@shopping.com,1
special.deal@coupons.com,1
claim.your.prize@gmail.com,1
urgent@service.com,1
john.doe@yahoo.com,0
free.gift@offers.com,1
david.smith@hotmail.com,0
win123@lottery.com,1
special.deal@coupons.com,1
michael57@gmail.com,0
discount@shopping.com,1
free.gift@offers.com,1
david.smith@hotmail.com,0
urgent@service.com,1
michael57@gmail.com,0
cash498@yahoo.com,1
susan.doe@gmail.com,0
alice.brown@gmail.com,0
david.smith@hotmail.com,0
jane.smith@hotmail.com,0
claim.your.prize@gmail.com,1
special.deal@coupons.com,1
claim.your.prize@gmail.com,1
cash498@yahoo.com,1
michael57@gmail.com,0
laura66@gmail.com,0
urgent@service.com,1
alice.brown@gmail.com,0
alice.brown@gmail.com,0
laura66@gmail.com,0
cash498@yahoo.com,1
newsletter@updates.com,1
alice.brown@gmail.com,0
susan.doe@gmail.com,0
susan.doe@gmail.com,0
discount@shopping.com,1
claim.your.prize@gmail.com,1
free.gift@offers.com,1
david.smith@hotmail.com,0
promo756@hotmail.com,1
urgent@service.com,1
bob.jones@outlook.com,0
emily.jones@outlook.com,0
alice.brown@gmail.com,0
urgent@service.com,1
bob.jones@outlook.com,0
emily.jones@outlook.com,0
susan.doe@gmail.com,0
alice.brown@gmail.com,0
urgent@service.com,1
charlie.white@yahoo.com,0
special.deal@coupons.com,1
bob.jones@outlook.com,0
newsletter@updates.com,1
special.deal@coupons.com,1
promo756@hotmail.com,1
alice.brown@gmail.com,0
special.deal@coupons.com,1
emily.jones@outlook.com,0
jane.smith@hotmail.com,0
urgent@service.com,1
emily.jones@outlook.com,0
john.doe@yahoo.com,0
susan.doe@gmail.com,0
david.smith@hotmail.com,0
newsletter@updates.com,1
claim.your.prize@gmail.com,1
laura66@gmail.com,0
exclusive.offer@hotmail.com,1
david.smith@hotmail.com,0
laura66@gmail.com,0
win123@lottery.com,1
discount@shopping.com,1
michael57@gmail.com,0
promo756@hotmail.com,1
urgent@service.com,1
cash498@yahoo.com,1
susan.doe@gmail.com,0
david.smith@hotmail.com,0
alice.brown@gmail.com,0
newsletter@updates.com,1
free.gift@offers.com,1
special.deal@coupons.com,1
john.doe@yahoo.com,0
cash498@yahoo.com,1
john.doe@yahoo.com,0
laura66@gmail.com,0
exclusive.offer@hotmail.com,1
jane.smith@hotmail.com,0
jane.smith@hotmail.com,0
free.gift@offers.com,1
win123@lottery.com,1
promo756@hotmail.com,1
emily.jones@outlook.com,0
david.smith@hotmail.com,0
bob.jones@outlook.com,0
michael57@gmail.com,0
exclusive.offer@hotmail.com,1
john.doe@yahoo.com,0
special.deal@coupons.com,1
exclusive.offer@hotmail.com,1
promo756@hotmail.com,1
laura66@gmail.com,0
emily.jones@outlook.com,0
alice.brown@gmail.com,0
claim.your.prize@gmail.com,1
free.gift@offers.com,1
susan.doe@gmail.com,0
exclusive.offer@hotmail.com,1
bob.jones@outlook.com,0
discount@shopping.com,1
david.smith@hotmail.com,0
cash498@yahoo.com,1
claim.your.prize@gmail.com,1
newsletter@updates.com,1
michael57@gmail.com,0
newsletter@updates.com,1
emily.jones@outlook.com,0
michael57@gmail.com,0
jane.smith@hotmail.com,0
urgent@service.com,1
exclusive.offer@hotmail.com,1
cash498@yahoo.com,1
win123@lottery.com,1
laura66@gmail.com,0
charlie.white@yahoo.com,0
newsletter@updates.com,1
bob.jones@outlook.com,0
discount@shopping.com,1
discount@shopping.com,1
laura66@gmail.com,0
bob.jones@outlook.com,0
free.gift@offers.com,1
free.gift@offers.com,1
win123@lottery.com,1
free.gift@offers.com,1
emily.jones@outlook.com,0
claim.your.prize@gmail.com,1
newsletter@updates.com,1
discount@shopping.com,1
exclusive.offer@hotmail.com,1
john.doe@yahoo.com,0
jane.smith@hotmail.com,0
michael57@gmail.com,0
urgent@service.com,1
free.gift@offers.com,1
discount@shopping.com,1
bob.jones@outlook.com,0
claim.your.prize@gmail.com,1
charlie.white@yahoo.com,0
susan.doe@gmail.com,0
special.deal@coupons.com,1
newsletter@updates.com,1
claim.your.prize@gmail.com,1
cash498@yahoo.com,1
alice.brown@gmail.com,0
exclusive.offer@hotmail.com,1
jane.smith@hotmail.com,0
cash498@yahoo.com,1
exclusive.offer@hotmail.com,1
promo756@hotmail.com,1
bob.jones@outlook.com,0
susan.doe@gmail.com,0
